bot_name,bot_status,bot_account,bot_group,scanner_name,scanner_index,category,path,name,value,routine_version,routine_updated
"Bocca Gap ","on","Paper Trading","Bocca","Bocca Gap ","1","Entry Criteria","Bocca Gap /Decision[Bot can open a new position today?]","Bot can open a new position","","13","2026-07-17T15:37:46.325Z"
"Bocca Gap ","on","Paper Trading","Bocca","Bocca Gap ","1","Entry Criteria","Bocca Gap /Decision[Market closes at 4:00PM today and VIX is between 0 - 24...]","Market closes at 4:00PM today","","13","2026-07-17T15:37:46.325Z"
"Bocca Gap ","on","Paper Trading","Bocca","Bocca Gap ","1","Entry Criteria","Bocca Gap /Decision[Market closes at 4:00PM today and VIX is between 0 - 24...]","VIX is between 0 - 24","","13","2026-07-17T15:37:46.325Z"
"Bocca Gap ","on","Paper Trading","Bocca","Bocca Gap ","1","Entry Criteria","Bocca Gap /Decision[Market closes at 4:00PM today and VIX is between 0 - 24...]","SPX gap % today is greater than or equal to 0.1","","13","2026-07-17T15:37:46.325Z"
"Bocca Gap ","on","Paper Trading","Bocca","Bocca Gap ","1","Position Criteria","Bocca Gap /Action[Open SPX Iron Condor]/Filter","rwr: 100","","13","2026-07-17T15:37:46.325Z"
"Bocca Gap ","on","Paper Trading","Bocca","Bocca Gap ","1","Entry Criteria","Bocca Gap /Action[Open SPX Iron Condor]/entry","{}","","13","2026-07-17T15:37:46.325Z"
"Bocca Gap ","on","Paper Trading","Bocca","Bocca Gap ","1","Position Details","Bocca Gap /Action[Open SPX Iron Condor]/Symbol","Symbol","SPX","13","2026-07-17T15:37:46.325Z"
"Bocca Gap ","on","Paper Trading","Bocca","Bocca Gap ","1","Position Details","Bocca Gap /Action[Open SPX Iron Condor]/Position Size","Position Size","1 contract","13","2026-07-17T15:37:46.325Z"
"Bocca Gap ","on","Paper Trading","Bocca","Bocca Gap ","1","Position Details","Bocca Gap /Action[Open SPX Iron Condor]/Price","Price","100% of bid/ask, $.10 from mid price","13","2026-07-17T15:37:46.325Z"
"Bocca Gap ","on","Paper Trading","Bocca","Bocca Gap ","1","Position Details","Bocca Gap /Action[Open SPX Iron Condor]/Expiration","Expiration","exactly 0 days","13","2026-07-17T15:37:46.325Z"
"Bocca Gap ","on","Paper Trading","Bocca","Bocca Gap ","1","Position Details","Bocca Gap /Action[Open SPX Iron Condor]/Long Put","Long Put","$5.00 below short put leg exactly","13","2026-07-17T15:37:46.325Z"
"Bocca Gap ","on","Paper Trading","Bocca","Bocca Gap ","1","Position Details","Bocca Gap /Action[Open SPX Iron Condor]/Short Put","Short Put","$5.00 below underlying price","13","2026-07-17T15:37:46.325Z"
"Bocca Gap ","on","Paper Trading","Bocca","Bocca Gap ","1","Position Details","Bocca Gap /Action[Open SPX Iron Condor]/Exit Options","Exit Options","Profits: 40%, Stop Loss: 90%","13","2026-07-17T15:37:46.325Z"